Tid	Kanal A
(s)	(V)

0.04416808	2.04724400
0.04433475	2.04724400
0.04450142	2.04724400
0.04466809	1.96850400
0.04483477	1.88976400
0.04500144	1.81102400
0.04516811	1.81102400
0.04533478	1.73228300
0.04550145	1.73228300
0.04566813	1.65354300
0.04583480	1.65354300
0.04600147	1.65354300
0.04616814	1.65354300
0.04633481	1.65354300
0.04650149	1.57480300
0.04666816	1.57480300
0.04683483	1.57480300
0.04700150	1.49606300
0.04716817	1.49606300
0.04733485	1.49606300
0.04750152	1.49606300
0.04766819	1.49606300
0.04783486	1.49606300
0.04800153	1.41732300
0.04816821	1.41732300
0.04833488	1.33858300
0.04850155	1.25984300
0.04866822	1.18110200
0.04883489	1.02362200
0.04900157	0.94488190
0.04916824	0.86614170
0.04933491	0.78740160
0.04950158	0.78740160
0.04966825	0.78740160
0.04983493	0.86614170
0.05000160	0.94488190
0.05016827	1.10236200
0.05033494	1.25984300
0.05050161	1.41732300
0.05066829	1.49606300
0.05083496	1.57480300
0.05100163	1.57480300
0.05116830	1.57480300
0.05133497	1.49606300
0.05150165	1.41732300
0.05166832	1.33858300
0.05183499	1.18110200
0.05200166	1.10236200
0.05216833	1.02362200
0.05233501	1.02362200
0.05250168	1.10236200
0.05266835	1.18110200
0.05283502	1.25984300
0.05300169	1.25984300
0.05316837	1.41732300
0.05333504	1.49606300
0.05350171	1.57480300
0.05366838	1.57480300
0.05383505	1.65354300
0.05400173	1.65354300
0.05416840	1.57480300
0.05433507	1.57480300
0.05450174	1.49606300
0.05466841	1.49606300
0.05483509	1.41732300
0.05500176	1.41732300
0.05516843	1.41732300
0.05533510	1.41732300
0.05550177	1.33858300
0.05566844	1.33858300
0.05583512	1.33858300
0.05600179	1.33858300
0.05616846	1.33858300
0.05633513	1.33858300
0.05650180	1.33858300
0.05666848	1.41732300
0.05683515	1.41732300
0.05700182	1.49606300
0.05716849	1.57480300
0.05733516	1.57480300
0.05750184	1.65354300
0.05766851	1.57480300
0.05783518	1.57480300
0.05800185	1.41732300
0.05816852	1.33858300
0.05833520	1.25984300
0.05850187	1.10236200
0.05866854	1.02362200
0.05883521	0.94488190
0.05900188	0.86614170
0.05916856	0.86614170
0.05933523	0.94488190
0.05950190	0.94488190
0.05966857	1.10236200
0.05983524	1.25984300
0.06000192	1.41732300
0.06016859	1.49606300
0.06033526	1.57480300
0.06050193	1.57480300
0.06066860	1.57480300
0.06083528	1.49606300
0.06100195	1.33858300
0.06116862	1.25984300
0.06133529	1.10236200
0.06150196	1.02362200
0.06166864	0.94488190
0.06183531	0.94488190
0.06200198	0.94488190
0.06216865	1.02362200
0.06233532	1.18110200
0.06250200	1.33858300
0.06266867	1.49606300
0.06283534	1.65354300
0.06300201	1.73228300
0.06316868	1.81102400
0.06333536	1.81102400
0.06350203	1.73228300
0.06366870	1.65354300
0.06383537	1.57480300
0.06400204	1.49606300
0.06416872	1.49606300
0.06433539	1.41732300
0.06450206	1.49606300
0.06466873	1.49606300
0.06483540	1.57480300
0.06500208	1.65354300
0.06516875	1.73228300
0.06533542	1.73228300
0.06550209	1.81102400
0.06566876	1.73228300
0.06583544	1.73228300
0.06600211	1.65354300
0.06616878	1.57480300
0.06633545	1.49606300
0.06650212	1.49606300
0.06666880	1.49606300
0.06683547	1.49606300
0.06700214	1.49606300
0.06716881	1.49606300
0.06733548	1.57480300
0.06750216	1.57480300
0.06766883	1.49606300
0.06783550	1.49606300
0.06800217	1.41732300
0.06816884	1.33858300
0.06833552	1.25984300
0.06850219	1.18110200
0.06866886	1.10236200
0.06883553	1.10236200
0.06900220	1.02362200
0.06916888	1.10236200
0.06933555	1.10236200
0.06950222	1.10236200
0.06966889	1.18110200
0.06983556	1.18110200
0.07000224	1.25984300
0.07016891	1.25984300
0.07033558	1.25984300
0.07050225	1.25984300
0.07066892	1.18110200
0.07083560	1.18110200
0.07100227	1.10236200
0.07116894	1.02362200
0.07133561	1.02362200
0.07150228	1.10236200
0.07166896	1.18110200
0.07183563	1.25984300
0.07200230	1.33858300
0.07216897	1.49606300
0.07233564	1.65354300
0.07250232	1.73228300
0.07266899	1.73228300
0.07283566	1.81102400
0.07300233	1.73228300
0.07316900	1.65354300
0.07333568	1.57480300
0.07350235	1.41732300
0.07366902	1.33858300
0.07383569	1.25984300
0.07400236	1.25984300
0.07416904	1.25984300
0.07433571	1.25984300
0.07450238	1.41732300
0.07466905	1.49606300
0.07483572	1.57480300
0.07500240	1.73228300
0.07516907	1.81102400
0.07533574	1.81102400
0.07550241	1.81102400
0.07566908	1.81102400
0.07583576	1.73228300
0.07600243	1.65354300
0.07616910	1.65354300
0.07633577	1.57480300
0.07650244	1.57480300
0.07666912	1.57480300
0.07683579	1.65354300
0.07700246	1.65354300
0.07716913	1.65354300
0.07733580	1.65354300
0.07750248	1.65354300
0.07766915	1.65354300
0.07783582	1.57480300
0.07800249	1.49606300
0.07816916	1.41732300
0.07833584	1.33858300
0.07850251	1.25984300
0.07866918	1.18110200
0.07883585	1.18110200
0.07900252	1.18110200
0.07916920	1.18110200
0.07933587	1.18110200
0.07950254	1.25984300
0.07966921	1.33858300
0.07983588	1.33858300
0.08000256	1.33858300
0.08016923	1.25984300
0.08033590	1.25984300
0.08050257	1.18110200
0.08066924	1.10236200
0.08083592	1.10236200
0.08100259	1.10236200
0.08116926	1.10236200
0.08133593	1.10236200
0.08150260	1.18110200
0.08166928	1.25984300
0.08183595	1.41732300
0.08200262	1.49606300
0.08216929	1.65354300
0.08233596	1.73228300
0.08250264	1.81102400
0.08266931	1.81102400
0.08283598	1.81102400
0.08300265	1.73228300
0.08316932	1.65354300
0.08333600	1.57480300
0.08350267	1.49606300
0.08366934	1.41732300
0.08383601	1.41732300
0.08400268	1.41732300
0.08416936	1.49606300
0.08433603	1.49606300
0.08450270	1.57480300
0.08466937	1.65354300
0.08483604	1.73228300
0.08500272	1.81102400
0.08516939	1.81102400
0.08533606	1.81102400
0.08550273	1.73228300
0.08566940	1.65354300
0.08583608	1.65354300
0.08600275	1.57480300
0.08616942	1.49606300
0.08633609	1.41732300
0.08650276	1.41732300
0.08666944	1.41732300
0.08683611	1.49606300
0.08700278	1.49606300
0.08716945	1.57480300
0.08733612	1.57480300
0.08750280	1.57480300
0.08766947	1.57480300
0.08783614	1.49606300
0.08800281	1.41732300
0.08816948	1.33858300
0.08833616	1.25984300
0.08850283	1.25984300
0.08866950	1.18110200
0.08883617	1.18110200
0.08900284	1.18110200
0.08916952	1.25984300
0.08933619	1.25984300
0.08950286	1.25984300
0.08966953	1.33858300
0.08983620	1.33858300
0.09000288	1.33858300
0.09016955	1.25984300
0.09033622	1.25984300
0.09050289	1.25984300
0.09066956	1.18110200
0.09083624	1.18110200
0.09100291	1.18110200
0.09116958	1.18110200
0.09133625	1.18110200
0.09150292	1.25984300
0.09166959	1.33858300
0.09183627	1.33858300
0.09200294	1.41732300
0.09216961	1.49606300
0.09233628	1.49606300
0.09250295	1.57480300
0.09266963	1.57480300
0.09283630	1.65354300
0.09300297	1.65354300
0.09316964	1.65354300
0.09333631	1.65354300
0.09350299	1.65354300
0.09366966	1.65354300
0.09383633	1.65354300
0.09400300	1.65354300
0.09416967	1.65354300
0.09433635	1.65354300
0.09450302	1.73228300
0.09466969	1.73228300
0.09483636	1.73228300
0.09500303	1.73228300
0.09516971	1.73228300
0.09533638	1.73228300
0.09550305	1.73228300
0.09566972	1.73228300
0.09583639	1.73228300
0.09600307	1.73228300
0.09616974	1.73228300
0.09633641	1.65354300
0.09650308	1.73228300
0.09666975	1.65354300
0.09683643	1.65354300
0.09700310	1.57480300
0.09716977	1.57480300
0.09733644	1.57480300
0.09750311	1.49606300
0.09766979	1.49606300
0.09783646	1.41732300
0.09800313	1.41732300
0.09816980	1.41732300
0.09833647	1.41732300
0.09850315	1.41732300
0.09866982	1.41732300
0.09883649	1.41732300
0.09900316	1.41732300
0.09916983	1.41732300
0.09933651	1.41732300
0.09950318	1.41732300
0.09966985	1.41732300
0.09983652	1.41732300
0.10000319	1.33858300
0.10016987	1.33858300
0.10033654	1.25984300
0.10050321	1.25984300
0.10066988	1.25984300
0.10083655	1.18110200
0.10100323	1.25984300
0.10116990	1.25984300
0.10133657	1.25984300
0.10150324	1.33858300
0.10166991	1.33858300
0.10183659	1.33858300
0.10200326	1.41732300
0.10216993	1.41732300
0.10233660	1.49606300
0.10250327	1.57480300
0.10266995	1.57480300
0.10283662	1.65354300
0.10300329	1.73228300
0.10316996	1.73228300
0.10333663	1.81102400
0.10350331	1.81102400
0.10366998	1.81102400
0.10383665	1.81102400
0.10400332	1.81102400
0.10416999	1.81102400
0.10433667	1.81102400
0.10450334	1.81102400
0.10467001	1.81102400
0.10483668	1.81102400
