Tid	Kanal A
(s)	(V)

0.00000000	0.07874016
0.00016667	0.07874016
0.00033334	0.07874016
0.00050002	0.07874016
0.00066669	0.07874016
0.00083336	0.07874016
0.00100003	0.07874016
0.00116670	0.07874016
0.00133338	0.07874016
0.00150005	0.07874016
0.00166672	0.07874016
0.00183339	0.07874016
0.00200006	0.07874016
0.00216674	0.07874016
0.00233341	0.07874016
0.00250008	0.07874016
0.00266675	0.07874016
0.00283342	0.07874016
0.00300010	0.07874016
0.00316677	0.07874016
0.00333344	0.07874016
0.00350011	0.07874016
0.00366678	0.07874016
0.00383346	0.07874016
0.00400013	0.07874016
0.00416680	0.07874016
0.00433347	0.07874016
0.00450014	0.07874016
0.00466682	0.07874016
0.00483349	0.07874016
0.00500016	0.07874016
0.00516683	0.07874016
0.00533350	0.07874016
0.00550018	0.07874016
0.00566685	0.07874016
0.00583352	0.07874016
0.00600019	0.07874016
0.00616686	0.15748030
0.00633354	0.15748030
0.00650021	0.07874016
0.00666688	0.15748030
0.00683355	0.07874016
0.00700022	0.07874016
0.00716690	0.07874016
0.00733357	0.07874016
0.00750024	0.07874016
0.00766691	0.07874016
0.00783358	0.07874016
0.00800026	0.07874016
0.00816693	0.07874016
0.00833360	0.07874016
0.00850027	0.07874016
0.00866694	0.07874016
0.00883362	0.07874016
0.00900029	0.07874016
0.00916696	0.07874016
0.00933363	0.07874016
0.00950030	0.07874016
0.00966698	0.07874016
0.00983365	0.07874016
0.01000032	0.07874016
0.01016699	0.07874016
0.01033366	0.07874016
0.01050034	0.07874016
0.01066701	0.07874016
0.01083368	0.07874016
0.01100035	0.07874016
0.01116702	0.07874016
0.01133370	0.07874016
0.01150037	0.07874016
0.01166704	0.07874016
0.01183371	0.07874016
0.01200038	0.07874016
0.01216706	0.07874016
0.01233373	0.07874016
0.01250040	0.07874016
0.01266707	0.07874016
0.01283374	0.07874016
0.01300042	0.07874016
0.01316709	0.07874016
0.01333376	0.07874016
0.01350043	0.07874016
0.01366710	0.07874016
0.01383378	0.07874016
0.01400045	0.07874016
0.01416712	0.07874016
0.01433379	0.07874016
0.01450046	0.07874016
0.01466714	0.07874016
0.01483381	0.07874016
0.01500048	0.07874016
0.01516715	0.07874016
0.01533382	0.07874016
0.01550050	0.07874016
0.01566717	0.07874016
0.01583384	0.07874016
0.01600051	0.07874016
0.01616718	0.07874016
0.01633386	0.07874016
0.01650053	0.07874016
0.01666720	0.07874016
0.01683387	0.07874016
0.01700054	0.07874016
0.01716722	0.07874016
0.01733389	0.07874016
0.01750056	0.07874016
0.01766723	0.07874016
0.01783390	0.07874016
0.01800058	0.07874016
0.01816725	0.07874016
0.01833392	0.07874016
0.01850059	0.07874016
0.01866726	0.07874016
0.01883393	0.07874016
0.01900061	0.07874016
0.01916728	0.07874016
0.01933395	0.07874016
0.01950062	0.07874016
0.01966729	0.07874016
0.01983397	0.07874016
0.02000064	0.07874016
0.02016731	0.07874016
0.02033398	0.07874016
0.02050065	0.07874016
0.02066733	0.07874016
0.02083400	0.07874016
0.02100067	0.07874016
0.02116734	0.07874016
0.02133401	0.07874016
0.02150069	0.07874016
0.02166736	0.07874016
0.02183403	0.07874016
0.02200070	0.07874016
0.02216737	0.07874016
0.02233405	0.07874016
0.02250072	0.07874016
0.02266739	0.07874016
0.02283406	0.07874016
0.02300073	0.07874016
0.02316741	0.07874016
0.02333408	0.07874016
0.02350075	0.07874016
0.02366742	0.07874016
0.02383409	0.07874016
0.02400077	0.07874016
0.02416744	0.07874016
0.02433411	0.07874016
0.02450078	0.07874016
0.02466745	0.07874016
0.02483413	0.07874016
0.02500080	0.07874016
0.02516747	0.07874016
0.02533414	0.07874016
0.02550081	0.07874016
0.02566749	0.07874016
0.02583416	0.07874016
0.02600083	0.07874016
0.02616750	0.07874016
0.02633417	0.07874016
0.02650085	0.07874016
0.02666752	0.07874016
0.02683419	0.07874016
0.02700086	0.07874016
0.02716753	0.07874016
0.02733421	0.07874016
0.02750088	0.07874016
0.02766755	0.07874016
0.02783422	0.07874016
0.02800089	0.07874016
0.02816757	0.07874016
0.02833424	0.07874016
0.02850091	0.07874016
0.02866758	0.07874016
0.02883425	0.07874016
0.02900093	0.07874016
0.02916760	0.07874016
