Data from FLMS055071_15-34-09-434.txt Node
Date: Wed Apr 21 15:34:09 CEST 2021
User: au643642
Spectrometer: FLMS05507
Trigger mode: 0
Integration Time (sec): 2,100000E-2
Scans to average: 20
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Pixels
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
0	-10,69
1	-10,69
2	-10,69
3	-67,8
4	-75,28
5	-64,75
6	-59,49
7	-66,86
8	-72,24
9	-58,78
10	-41,7
11	-39,24
12	-10,92
13	0,78
14	5
15	36,24
16	47,71
17	45,37
18	78,02
19	93,23
20	107,63
21	126,47
22	147,53
23	164,74
24	193,64
25	208,74
26	221,85
27	227,46
28	233,43
29	245,95
30	267,49
31	272,4
32	279,54
33	273,81
34	289,6
35	302,24
36	295,34
37	306,22
38	320,27
39	327,29
40	305,75
41	320,97
42	324,13
43	323,43
44	329,04
45	329,74
46	314,3
47	304,58
48	315,7
49	316,75
50	307,86
51	345,19
52	302,83
53	317,46
54	320,27
55	314,06
56	305,99
57	297,45
58	307,28
59	306,34
60	294,17
61	301,54
62	295,34
63	300,72
64	284,69
65	291,48
66	302,48
67	282,23
68	301,42
69	287,5
70	273,34
71	295,22
72	289,25
73	283,64
74	287,03
75	276,85
76	283,29
77	274,27
78	292,06
79	290,31
80	298,38
81	280,01
82	287,38
83	282,58
84	286,21
85	290,66
86	286,68
87	284,92
88	291,01
89	289,37
90	304,12
91	297,45
92	281,76
93	303,41
94	292,65
95	298,85
96	291,36
97	296,51
98	290,77
99	308,8
100	304,94
101	298,38
102	303,06
103	297,8
104	300,14
105	296,16
106	304,12
107	290,42
108	303,65
109	294,99
110	294,52
111	293,58
112	288,08
113	295,46
114	305,29
115	292,3
116	283,52
117	290,89
118	295,92
119	314,88
120	300,84
121	300,37
122	295,57
123	303,41
124	288,43
125	296,39
126	300,61
127	305,05
128	285,27
129	305,52
130	289,02
131	294,4
132	312,78
133	300,02
134	310,44
135	309,85
136	298,85
137	291,13
138	310,55
139	295,69
140	306,92
141	301,19
142	298,5
