Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

1.87271995	5.35433100	3.30708700
1.88495995	5.35433100	3.30708700
1.89719995	5.35433100	3.22834600
1.90943995	5.35433100	3.30708700
1.92167995	5.35433100	3.22834600
1.93391995	5.35433100	3.22834600
1.94615995	5.35433100	3.30708700
1.95839995	5.35433100	3.30708700
1.97063995	5.35433100	3.22834600
1.98287995	5.35433100	3.22834600
1.99511995	5.43307100	3.30708700
2.00735995	5.43307100	3.22834600
2.01959995	5.35433100	3.22834600
2.03183995	5.43307100	3.22834600
2.04407995	5.43307100	3.22834600
2.05631995	5.43307100	3.22834600
2.06855995	5.43307100	3.22834600
2.08079995	5.43307100	3.22834600
2.09303995	5.43307100	3.22834600
2.10527995	5.43307100	3.22834600
2.11751995	5.43307100	3.22834600
2.12975995	5.43307100	3.22834600
2.14199995	5.43307100	3.22834600
2.15423995	5.43307100	3.22834600
2.16647995	5.51181100	3.22834600
2.17871995	5.43307100	3.22834600
2.19095995	5.43307100	3.22834600
2.20319995	5.51181100	3.22834600
2.21543995	5.51181100	3.22834600
2.22767995	5.51181100	3.22834600
2.23991995	5.51181100	3.22834600
2.25215995	5.51181100	3.22834600
2.26439995	5.51181100	3.22834600
2.27663995	5.51181100	3.22834600
2.28887994	5.51181100	3.22834600
2.30111994	5.51181100	3.22834600
2.31335994	5.51181100	3.22834600
2.32559994	5.51181100	3.22834600
2.33783994	5.51181100	3.22834600
2.35007994	5.51181100	3.22834600
2.36231994	5.51181100	3.22834600
2.37455994	5.51181100	3.22834600
2.38679994	5.51181100	3.14960600
2.39903994	5.51181100	3.22834600
2.41127994	5.51181100	3.22834600
2.42351994	5.51181100	3.22834600
2.43575994	5.51181100	3.22834600
2.44799994	5.59055100	3.22834600
2.46023994	5.59055100	3.22834600
2.47247994	5.59055100	3.14960600
2.48471994	5.51181100	3.14960600
2.49695994	5.59055100	3.22834600
2.50919994	5.59055100	3.14960600
2.52143994	5.59055100	3.22834600
2.53367994	5.59055100	3.14960600
2.54591994	5.59055100	3.14960600
2.55815994	5.59055100	3.14960600
2.57039994	5.59055100	3.14960600
2.58263994	5.59055100	3.14960600
2.59487994	5.59055100	3.14960600
2.60711994	5.59055100	3.14960600
2.61935994	5.59055100	3.14960600
2.63159994	5.59055100	3.14960600
2.64383994	5.59055100	3.14960600
2.65607994	5.59055100	3.14960600
2.66831994	5.59055100	3.14960600
2.68055994	5.59055100	3.14960600
2.69279994	5.59055100	3.14960600
2.70503993	5.59055100	3.14960600
2.71727993	5.59055100	3.14960600
2.72951993	5.59055100	3.14960600
2.74175993	5.59055100	3.14960600
2.75399993	5.59055100	3.14960600
2.76623993	5.59055100	3.14960600
2.77847993	5.59055100	3.14960600
2.79071993	5.66929100	3.14960600
2.80295993	5.59055100	3.14960600
2.81519993	5.66929100	3.14960600
2.82743993	5.59055100	3.14960600
2.83967993	5.66929100	3.14960600
2.85191993	5.66929100	3.14960600
