Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	2.36220500	0.23622050
0.01224000	2.36220500	0.31496060
0.02448000	2.36220500	0.31496060
0.03672000	2.36220500	0.31496060
0.04896000	2.44094500	0.23622050
0.06120000	2.44094500	0.31496060
0.07344000	2.44094500	0.23622050
0.08568000	2.44094500	0.31496060
0.09792000	2.51968500	0.31496060
0.11016000	2.51968500	0.23622050
0.12240000	2.59842500	0.23622050
0.13464000	2.59842500	0.31496060
0.14688000	2.59842500	0.23622050
0.15912000	2.59842500	0.31496060
0.17136000	2.59842500	0.23622050
0.18360000	2.67716500	0.31496060
0.19584000	2.67716500	0.23622050
0.20807999	2.67716500	0.31496060
0.22031999	2.67716500	0.23622050
0.23255999	2.75590500	0.23622050
0.24479999	2.75590500	0.23622050
0.25703999	2.75590500	0.23622050
0.26927999	2.83464600	0.23622050
0.28151999	2.83464600	0.23622050
0.29375999	2.83464600	0.23622050
0.30599999	2.83464600	0.23622050
0.31823999	2.91338600	0.23622050
0.33047999	2.91338600	0.23622050
0.34271999	2.91338600	0.23622050
0.35495999	2.91338600	0.23622050
0.36719999	2.99212600	0.23622050
0.37943999	2.99212600	0.23622050
0.39167999	2.99212600	0.23622050
0.40391999	2.99212600	0.23622050
0.41615999	3.07086600	0.23622050
0.42839999	3.07086600	0.23622050
0.44063999	3.07086600	0.23622050
0.45287999	3.14960600	0.23622050
0.46511999	3.14960600	0.23622050
0.47735999	3.14960600	0.23622050
0.48959999	3.14960600	0.23622050
0.50183999	3.22834600	0.23622050
0.51407999	3.22834600	0.23622050
0.52631999	3.22834600	0.23622050
0.53855999	3.22834600	0.23622050
0.55079999	3.30708700	0.23622050
0.56303999	3.30708700	0.23622050
0.57527999	3.30708700	0.23622050
0.58751999	3.30708700	0.23622050
0.59975999	3.38582700	0.23622050
0.61199999	3.38582700	0.23622050
0.62423998	3.38582700	0.23622050
0.63647998	3.46456700	0.23622050
0.64871998	3.38582700	0.15748030
0.66095998	3.46456700	0.23622050
0.67319998	3.46456700	0.23622050
0.68543998	3.46456700	0.15748030
0.69767998	3.54330700	0.15748030
0.70991998	3.54330700	0.15748030
0.72215998	3.54330700	0.15748030
0.73439998	3.62204700	0.15748030
0.74663998	3.62204700	0.23622050
0.75887998	3.62204700	0.15748030
0.77111998	3.62204700	0.15748030
0.78335998	3.62204700	0.15748030
0.79559998	3.70078700	0.15748030
0.80783998	3.70078700	0.15748030
0.82007998	3.70078700	0.15748030
0.83231998	3.77952800	0.15748030
0.84455998	3.77952800	0.15748030
0.85679998	3.77952800	0.15748030
0.86903998	3.77952800	0.15748030
0.88127998	3.77952800	0.15748030
0.89351998	3.85826800	0.15748030
0.90575998	3.85826800	0.23622050
0.91799998	3.85826800	0.23622050
0.93023998	3.85826800	0.15748030
0.94247998	3.93700800	0.23622050
0.95471998	3.93700800	0.15748030
0.96695998	3.93700800	0.23622050
0.97919998	3.93700800	0.15748030
0.99143998	3.93700800	0.23622050
1.00367998	4.01574800	0.23622050
1.01591998	4.01574800	0.23622050
1.02815998	4.01574800	0.23622050
1.04039997	4.01574800	0.23622050
1.05263997	4.01574800	0.23622050
1.06487997	4.09448800	0.23622050
1.07711997	4.09448800	0.23622050
1.08935997	4.09448800	0.23622050
1.10159997	4.09448800	0.23622050
1.11383997	4.09448800	0.23622050
1.12607997	4.17322800	0.23622050
1.13831997	4.09448800	0.23622050
1.15055997	4.09448800	0.23622050
1.16279997	4.17322800	0.23622050
1.17503997	4.17322800	0.23622050
1.18727997	4.17322800	0.23622050
1.19951997	4.17322800	0.23622050
1.21175997	4.17322800	0.23622050
1.22399997	4.25196800	0.23622050
1.23623997	4.25196800	0.23622050
1.24847997	4.25196800	0.23622050
1.26071997	4.17322800	0.23622050
1.27295997	4.25196800	0.23622050
1.28519997	4.25196800	0.23622050
1.29743997	4.25196800	0.23622050
1.30967997	4.25196800	0.31496060
1.32191997	4.25196800	0.23622050
1.33415997	4.25196800	0.23622050
1.34639997	4.25196800	0.31496060
1.35863997	4.33070900	0.23622050
1.37087997	4.33070900	0.23622050
1.38311997	4.25196800	0.31496060
1.39535997	4.33070900	0.23622050
1.40759997	4.33070900	0.23622050
1.41983997	4.33070900	0.23622050
1.43207997	4.33070900	0.31496060
1.44431997	4.33070900	0.31496060
1.45655996	4.33070900	0.23622050
1.46879996	4.33070900	0.23622050
1.48103996	4.33070900	0.31496060
1.49327996	4.33070900	0.31496060
1.50551996	4.33070900	0.31496060
1.51775996	4.33070900	0.31496060
1.52999996	4.33070900	0.31496060
