Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

1.87271995	0.47244100	1.02362200
1.88495995	0.47244100	1.02362200
1.89719995	0.47244100	1.02362200
1.90943995	0.47244100	1.02362200
1.92167995	0.39370080	1.02362200
1.93391995	0.39370080	1.10236200
1.94615995	0.39370080	1.02362200
1.95839995	0.39370080	1.02362200
1.97063995	0.39370080	1.02362200
1.98287995	0.39370080	1.10236200
1.99511995	0.39370080	1.02362200
2.00735995	0.39370080	1.10236200
2.01959995	0.39370080	1.02362200
2.03183995	0.39370080	1.10236200
2.04407995	0.39370080	1.02362200
2.05631995	0.39370080	1.02362200
2.06855995	0.31496060	1.10236200
2.08079995	0.31496060	1.10236200
2.09303995	0.31496060	1.02362200
2.10527995	0.31496060	1.10236200
2.11751995	0.31496060	1.10236200
2.12975995	0.31496060	1.10236200
2.14199995	0.31496060	1.10236200
2.15423995	0.31496060	1.10236200
2.16647995	0.31496060	1.10236200
2.17871995	0.31496060	1.10236200
2.19095995	0.31496060	1.10236200
2.20319995	0.31496060	1.10236200
2.21543995	0.31496060	1.10236200
2.22767995	0.23622050	1.10236200
2.23991995	0.31496060	1.10236200
2.25215995	0.23622050	1.10236200
2.26439995	0.23622050	1.10236200
2.27663995	0.23622050	1.10236200
2.28887994	0.23622050	1.10236200
2.30111994	0.23622050	1.10236200
2.31335994	0.23622050	1.10236200
2.32559994	0.23622050	1.10236200
2.33783994	0.23622050	1.10236200
2.35007994	0.23622050	1.10236200
2.36231994	0.23622050	1.10236200
2.37455994	0.23622050	1.10236200
2.38679994	0.23622050	1.10236200
2.39903994	0.23622050	1.10236200
2.41127994	0.23622050	1.10236200
2.42351994	0.15748030	1.10236200
2.43575994	0.23622050	1.10236200
2.44799994	0.23622050	1.10236200
2.46023994	0.15748030	1.10236200
2.47247994	0.15748030	1.10236200
2.48471994	0.15748030	1.10236200
2.49695994	0.15748030	1.18110200
2.50919994	0.15748030	1.10236200
2.52143994	0.15748030	1.10236200
2.53367994	0.15748030	1.10236200
2.54591994	0.15748030	1.18110200
2.55815994	0.15748030	1.18110200
2.57039994	0.15748030	1.18110200
2.58263994	0.15748030	1.10236200
2.59487994	0.15748030	1.18110200
2.60711994	0.15748030	1.10236200
2.61935994	0.15748030	1.18110200
2.63159994	0.15748030	1.18110200
2.64383994	0.15748030	1.18110200
2.65607994	0.15748030	1.10236200
2.66831994	0.15748030	1.18110200
2.68055994	0.15748030	1.18110200
2.69279994	0.15748030	1.18110200
2.70503993	0.15748030	1.18110200
2.71727993	0.15748030	1.18110200
2.72951993	0.15748030	1.18110200
2.74175993	0.15748030	1.18110200
2.75399993	0.15748030	1.18110200
2.76623993	0.15748030	1.18110200
2.77847993	0.15748030	1.18110200
2.79071993	0.15748030	1.18110200
2.80295993	0.07874016	1.18110200
2.81519993	0.15748030	1.18110200
2.82743993	0.07874016	1.18110200
2.83967993	0.15748030	1.18110200
2.85191993	0.07874016	1.18110200
2.86415993	0.15748030	1.18110200
2.87639993	0.07874016	1.18110200
2.88863993	0.15748030	1.18110200
2.90087993	0.07874016	1.18110200
2.91311993	0.15748030	1.18110200
2.92535993	0.07874016	1.18110200
2.93759993	0.07874016	1.18110200
2.94983993	0.07874016	1.18110200
2.96207993	0.07874016	1.18110200
2.97431993	0.07874016	1.18110200
2.98655993	0.07874016	1.18110200
2.99879993	0.07874016	1.18110200
3.01103993	0.07874016	1.18110200
3.02327993	0.07874016	1.18110200
3.03551993	0.07874016	1.25984300
3.04775993	0.07874016	1.25984300
3.05999993	0.07874016	1.18110200
3.07223993	0.07874016	1.18110200
3.08447993	0.07874016	1.18110200
3.09671993	0.07874016	1.25984300
3.10895993	0.07874016	1.25984300
3.12119992	0.07874016	1.25984300
3.13343992	0.15748030	1.25984300
3.14567992	0.07874016	1.25984300
3.15791992	0.07874016	1.25984300
3.17015992	0.07874016	1.25984300
3.18239992	0.07874016	1.25984300
3.19463992	0.07874016	1.25984300
3.20687992	0.07874016	1.25984300
3.21911992	0.07874016	1.25984300
3.23135992	0.07874016	1.25984300
3.24359992	0.07874016	1.25984300
3.25583992	0.07874016	1.25984300
3.26807992	0.07874016	1.25984300
3.28031992	0.07874016	1.25984300
3.29255992	0.07874016	1.25984300
3.30479992	0.07874016	1.25984300
3.31703992	0.07874016	1.25984300
3.32927992	0.07874016	1.25984300
3.34151992	0.07874016	1.25984300
3.35375992	0.07874016	1.25984300
3.36599992	0.07874016	1.25984300
3.37823992	0.07874016	1.25984300
3.39047992	0.07874016	1.25984300
3.40271992	0.15748030	1.25984300
3.41495992	0.07874016	1.25984300
